,ID,sref,tag,annotation
23,mock_session_23,train/noise.DLIVING.17.2720000-2880000.wav.23q8e98m.ingestion-6bc8b65f8c-86d4w.wav,noise,DLIVING
24,mock_session_24,train/vacuum.VacuumCleaner_5.2.320000-480000.wav.23q8eaiv.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_5
25,mock_session_25,train/noise.Babble_2.32.5120000-5280000.wav.23q8e375.ingestion-6bc8b65f8c-vrv59.wav,noise,Babble_2
26,mock_session_26,train/noise.Babble_7.11.1760000-1920000.wav.23q8e3vd.ingestion-6bc8b65f8c-86d4w.wav,noise,Babble_7
27,mock_session_27,train/noise.Babble_10.37.5920000-6080000.wav.23q8e3uf.ingestion-6bc8b65f8c-cfffs.wav,noise,Babble_10
28,mock_session_28,train/noise.AirConditioner_2.16.2560000-2720000.wav.23q8e34n.ingestion-6bc8b65f8c-cfffs.wav,noise,AirConditioner_2
29,mock_session_29,train/vacuum.VacuumCleaner_8.9.1440000-1600000.wav.23q8ef50.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_8
30,mock_session_30,train/noise.DWASHING.6.960000-1120000.wav.23q8e97f.ingestion-6bc8b65f8c-vrv59.wav,noise,DWASHING
31,mock_session_31,train/vacuum.VacuumCleaner_8.7.1120000-1280000.wav.23q8eepn.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_8
32,mock_session_32,train/noise.DWASHING.26.4160000-4320000.wav.23q8e9qk.ingestion-6bc8b65f8c-vrv59.wav,noise,DWASHING
33,mock_session_33,train/noise.Babble_6.29.4640000-4800000.wav.23q8e3mh.ingestion-6bc8b65f8c-cfffs.wav,noise,Babble_6
34,mock_session_34,train/vacuum.VacuumCleaner_8.4.640000-800000.wav.23q8eek0.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_8
35,mock_session_35,train/vacuum.VacuumCleaner_2.1.160000-320000.wav.23q8eac6.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_2
36,mock_session_36,train/vacuum.VacuumCleaner_2.3.480000-640000.wav.23q8eaj0.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_2
37,mock_session_37,train/noise.Babble_6.31.4960000-5120000.wav.23q8e3st.ingestion-6bc8b65f8c-vrv59.wav,noise,Babble_6
38,mock_session_38,train/vacuum.VacuumCleaner_9.2.320000-480000.wav.23q8ef6m.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_9
39,mock_session_39,train/noise.DLIVING.8.1280000-1440000.wav.23q8e8v5.ingestion-6bc8b65f8c-cfffs.wav,noise,DLIVING
40,mock_session_40,train/vacuum.VacuumCleaner_8.12.1920000-2080000.wav.23q8ef57.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_8
41,mock_session_41,train/vacuum.VacuumCleaner_8.10.1600000-1760000.wav.23q8eeub.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_8
42,mock_session_42,train/vacuum.VacuumCleaner_1.2.320000-480000.wav.23q8eac0.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_1
43,mock_session_43,train/noise.DWASHING.27.4320000-4480000.wav.23q8ea6n.ingestion-6bc8b65f8c-cfffs.wav,noise,DWASHING
44,mock_session_44,train/vacuum.VacuumCleaner_7.2.320000-480000.wav.23q8edp4.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_7
45,mock_session_45,train/vacuum.VacuumCleaner_9.1.160000-320000.wav.23q8ef75.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_9
46,mock_session_46,train/noise.DKITCHEN.13.2080000-2240000.wav.23q8e431.ingestion-6bc8b65f8c-vrv59.wav,noise,DKITCHEN
47,mock_session_47,train/noise.DWASHING.22.3520000-3680000.wav.23q8e9s8.ingestion-6bc8b65f8c-86d4w.wav,noise,DWASHING
48,mock_session_48,train/noise.AirConditioner_10.25.4000000-4160000.wav.23q8e357.ingestion-6bc8b65f8c-cfffs.wav,noise,AirConditioner_10
49,mock_session_49,train/vacuum.VacuumCleaner_9.0.0-160000.wav.23q8ef75.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_9
50,mock_session_50,train/noise.Babble_1.20.3200000-3360000.wav.23q8e37g.ingestion-6bc8b65f8c-cfffs.wav,noise,Babble_1
51,mock_session_51,train/vacuum.VacuumCleaner_5.3.480000-640000.wav.23q8eajq.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_5
52,mock_session_52,train/noise.Babble_4.3.480000-640000.wav.23q8e3ec.ingestion-6bc8b65f8c-cfffs.wav,noise,Babble_4
53,mock_session_53,train/vacuum.VacuumCleaner_6.1.160000-320000.wav.23q8ecol.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_6
54,mock_session_54,train/noise.AirConditioner_7.19.3040000-3200000.wav.23q8e381.ingestion-6bc8b65f8c-86d4w.wav,noise,AirConditioner_7
55,mock_session_55,train/noise.AirConditioner_9.12.1920000-2080000.wav.23q8e38d.ingestion-6bc8b65f8c-86d4w.wav,noise,AirConditioner_9
56,mock_session_56,train/noise.DLIVING.4.640000-800000.wav.23q8e47u.ingestion-6bc8b65f8c-cfffs.wav,noise,DLIVING
57,mock_session_57,train/noise.DWASHING.33.5280000-5440000.wav.23q8ea7h.ingestion-6bc8b65f8c-vrv59.wav,noise,DWASHING
58,mock_session_58,train/vacuum.VacuumCleaner_7.0.0-160000.wav.23q8edgv.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_7
59,mock_session_59,train/noise.DWASHING.15.2400000-2560000.wav.23q8e9pm.ingestion-6bc8b65f8c-cfffs.wav,noise,DWASHING
60,mock_session_60,train/vacuum.VacuumCleaner_8.8.1280000-1440000.wav.23q8eeuh.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_8
61,mock_session_61,train/noise.AirConditioner_2.9.1440000-1600000.wav.23q8e34o.ingestion-6bc8b65f8c-vrv59.wav,noise,AirConditioner_2
62,mock_session_62,train/noise.Babble_4.0.0-160000.wav.23q8e37g.ingestion-6bc8b65f8c-86d4w.wav,noise,Babble_4
63,mock_session_63,train/vacuum.VacuumCleaner_9.4.640000-800000.wav.23q8ef7e.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_9
64,mock_session_64,train/noise.Babble_4.35.5600000-5760000.wav.23q8e3jb.ingestion-6bc8b65f8c-vrv59.wav,noise,Babble_4
65,mock_session_65,train/vacuum.VacuumCleaner_9.3.480000-640000.wav.23q8ef6p.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_9
66,mock_session_66,train/noise.Babble_1.7.1120000-1280000.wav.23q8e38f.ingestion-6bc8b65f8c-vrv59.wav,noise,Babble_1
67,mock_session_67,train/vacuum.VacuumCleaner_6.0.0-160000.wav.23q8eb1b.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_6
68,mock_session_68,train/vacuum.VacuumCleaner_5.1.160000-320000.wav.23q8eaha.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_5
69,mock_session_69,train/vacuum.VacuumCleaner_5.0.0-160000.wav.23q8eaif.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_5
70,mock_session_70,train/vacuum.VacuumCleaner_8.1.160000-320000.wav.23q8eefh.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_8
71,mock_session_71,train/vacuum.VacuumCleaner_3.2.320000-480000.wav.23q8eail.ingestion-6bc8b65f8c-cfffs.wav,vacuum,VacuumCleaner_3
72,mock_session_72,train/vacuum.VacuumCleaner_2.0.0-160000.wav.23q8eaa1.ingestion-6bc8b65f8c-vrv59.wav,vacuum,VacuumCleaner_2
73,mock_session_73,train/noise.DKITCHEN.24.3840000-4000000.wav.23q8e43a.ingestion-6bc8b65f8c-86d4w.wav,noise,DKITCHEN
74,mock_session_74,train/vacuum.VacuumCleaner_1.1.160000-320000.wav.23q8ea9d.ingestion-6bc8b65f8c-86d4w.wav,vacuum,VacuumCleaner_1
75,mock_session_75,train/noise.AirConditioner_9.28.4480000-4640000.wav.23q8e3ar.ingestion-6bc8b65f8c-86d4w.wav,noise,AirConditioner_9
